"1","0","5","1","3","曼哈頓","Manhattan"
"2","0","5","1","1","皇后區","Queens"
"3","0","5","1","2","布碌崙","Brooklyn"
"7","0","5","1","8","其它地區","Other area"
"8","0","5","1","6","長島","Long Island"
"21","1","5","2","4","上城","Up Town"
"11","2","5","2","9","新鮮草原","Fresh Meadows"
"13","2","5","2","6","森林小丘","Forest Hills"
"14","2","5","2","5","貝賽","Bayside"
"15","2","5","2","3","雷哥公園","Rego Park"
"16","2","5","2","8","大學點","College Point"
"17","2","5","2","10","白石鎮","Whitestone"
"18","2","5","2","7","木邊區","Woodside"
"27","2","5","2","2","艾姆赫斯特","Elmhurst"
"22","1","5","2","5","中城","Middle Town"
"23","1","5","2","6","下城","Down Town"
"26","2","5","2","1","法拉盛","Flushing"
"28","0","5","1","4","史丹頓島","Staten Island"
"29","0","5","1","5","布朗士","Bronx"
"30","0","5","1","7","新澤西","New Jersey"
"33","1","5","2","8","聯合廣場","Union Square"
"32","0","5","1","7","康州","Connecticut"
"34","1","5","2","7","金融中心","Financial District"
"35","1","5","2","3","格林威治","Greenwich Village"
"36","1","5","2","2","華埠","Chinatown"
"37","1","5","2","1","哈林區","Harlem"
"38","2","5","2","4","可樂娜","Corona"
"39","3","5","2","1","金融中心","Financial District"
